theta_analytic,Cp_analytic,theta_panel,Cp_panel
5.113815,-0.798307,-1.160644,-0.779826
5.131268,-0.761170,-1.143191,-0.742145
5.148721,-0.722960,-1.125737,-0.703421
5.166175,-0.683735,-1.108284,-0.663712
5.183628,-0.643557,-1.090831,-0.623083
5.201081,-0.602491,-1.073377,-0.581596
5.218534,-0.560599,-1.055924,-0.539318
5.235988,-0.517949,-1.038471,-0.496314
5.253441,-0.474609,-1.021018,-0.452655
5.270894,-0.430646,-1.003564,-0.408408
5.288348,-0.386132,-0.986111,-0.363646
5.305801,-0.341138,-0.968658,-0.318440
5.323254,-0.295736,-0.951204,-0.272862
5.340708,-0.250000,-0.933751,-0.226988
5.358161,-0.204004,-0.916298,-0.180890
5.375614,-0.157822,-0.898845,-0.134645
5.393067,-0.111531,-0.881391,-0.088329
5.410521,-0.065207,-0.863938,-0.042018
5.427974,-0.018927,-0.846485,0.004211
5.445427,0.027233,-0.829031,0.050280
5.462881,0.073194,-0.811578,0.096113
5.480334,0.118881,-0.794125,0.141631
5.497787,0.164214,-0.776672,0.186758
5.515240,0.209116,-0.759218,0.231414
5.532694,0.253510,-0.741765,0.275524
5.550147,0.297318,-0.724312,0.319010
5.567600,0.340464,-0.706858,0.361795
5.585054,0.382872,-0.689405,0.403804
5.602507,0.424464,-0.671952,0.444960
5.619960,0.465167,-0.654498,0.485188
5.637413,0.504905,-0.637045,0.524415
5.654867,0.543604,-0.619592,0.562567
5.672320,0.581193,-0.602139,0.599572
5.689773,0.617599,-0.584685,0.635359
5.707227,0.652751,-0.567232,0.669858
5.724680,0.686581,-0.549779,0.702999
5.742133,0.719019,-0.532325,0.734716
5.759587,0.750000,-0.514872,0.764942
5.777040,0.779458,-0.497419,0.793613
5.794493,0.807329,-0.479966,0.820666
5.811946,0.833552,-0.462512,0.846041
5.829400,0.858065,-0.445059,0.869677
5.846853,0.880812,-0.427606,0.891517
5.864306,0.901734,-0.410152,0.911506
5.881760,0.920779,-0.392699,0.929591
5.899213,0.937893,-0.375246,0.945719
5.916666,0.953026,-0.357792,0.959842
5.934119,0.966129,-0.340339,0.971912
5.951573,0.977158,-0.322886,0.981885
5.969026,0.986068,-0.305433,0.989720
5.986479,0.992819,-0.287979,0.995374
6.003933,0.997371,-0.270526,0.998813
6.021386,0.999689,-0.253073,0.999999
6.038839,0.999739,-0.235619,0.998903
6.056293,0.997490,-0.218166,0.995492
6.073746,0.992914,-0.200713,0.989742
6.091199,0.985986,-0.183260,0.981627
6.108652,0.976682,-0.165806,0.971126
6.126106,0.964982,-0.148353,0.958221
6.143559,0.950870,-0.130900,0.942895
6.161012,0.934330,-0.113446,0.925136
6.178466,0.915352,-0.095993,0.904934
6.195919,0.893927,-0.078540,0.882282
6.213372,0.870049,-0.061087,0.857175
6.230825,0.843716,-0.043633,0.829612
6.248279,0.814927,-0.026180,0.799596
6.265732,0.783686,-0.008727,0.767130
